trade_date,ts_code,name,market,exchange,industry,sig_ma,sig_macd,sig_rsi,sig_kdj,sig_boll,close,ma_bfq_5,ma_bfq_10,macd_dif_bfq,macd_dea_bfq,macd_bfq,rsi_bfq_6,rsi_bfq_12,kdj_k_bfq,kdj_d_bfq,boll_mid_bfq
20260128,003033.SZ,征和工业,主板,SZSE,汽车配件,1,1,1,1,1,69.83,72.072,71.989,0.646,1.171,-1.052,40.243,46.755,33.56368,41.53524,73.134
20260128,002187.SZ,广百股份,主板,SZSE,百货,1,1,1,1,1,8.2,8.404,8.536,0.146,0.227,-0.161,40.254,47.75,27.22571,38.35242,8.354
20260128,603918.SH,金桥信息,主板,SSE,软件服务,1,1,1,1,1,17.0,17.46,17.598,0.231,0.392,-0.321,40.271,47.212,18.32361,23.43323,17.615
20260128,002609.SZ,捷顺科技,主板,SZSE,软件服务,1,1,1,1,1,10.31,10.564,10.704,0.294,0.348,-0.107,40.271,50.667,20.01971,32.10137,10.323
20260128,002519.SZ,银河电子,主板,SZSE,通信设备,1,1,1,1,1,8.09,8.522,8.632,0.412,0.662,-0.499,40.293,48.213,21.07266,23.73101,8.802
20260128,600325.SH,华发股份,主板,SSE,区域地产,1,1,1,1,1,4.08,4.11,4.139,-0.097,-0.085,-0.023,40.303,39.32,25.78719,30.72678,4.24
20260128,002967.SZ,广电计量,主板,SZSE,电器仪表,1,1,1,1,1,23.66,24.37,24.256,0.6,0.689,-0.178,40.339,50.676,30.36562,45.75752,23.792
20260128,603198.SH,迎驾贡酒,主板,SSE,白酒,1,1,1,1,1,38.75,38.836,39.033,-0.367,-0.321,-0.092,40.34,41.529,23.06472,25.80927,39.435
20260128,688114.SH,华大智造,科创板,SSE,医疗保健,1,1,1,1,1,66.0,67.736,67.423,0.59,1.175,-1.17,40.363,46.492,23.38271,24.62844,68.525
20260128,920779.BJ,武汉蓝电,北交所,BSE,电器仪表,1,1,1,1,1,35.88,36.726,36.99,0.264,0.294,-0.059,40.403,46.92,17.45521,27.20653,36.302
20260128,300973.SZ,立高食品,创业板,SZSE,食品,1,1,1,1,1,44.5,45.884,45.539,1.011,1.124,-0.226,40.407,49.776,60.39855,66.56572,44.826
20260128,000551.SZ,创元科技,主板,SZSE,专用机械,1,1,1,1,1,14.85,15.518,15.509,0.578,0.74,-0.325,40.421,49.797,43.56334,58.03159,15.178
20260128,920195.BJ,三祥科技,北交所,BSE,汽车配件,1,1,1,1,1,22.06,22.586,22.456,0.337,0.392,-0.11,40.421,49.632,39.6207,51.64193,22.218
20260128,688622.SH,禾信仪器,科创板,SSE,电器仪表,1,1,1,1,1,104.21,110.526,110.571,-1.453,-0.924,-1.058,40.437,43.934,42.30006,46.83698,110.432
20260128,300937.SZ,药易购,创业板,SZSE,医药商业,1,1,1,1,1,35.4,36.91,36.457,0.592,0.839,-0.495,40.441,47.108,26.04945,27.82421,36.768
20260128,002067.SZ,景兴纸业,主板,SZSE,造纸,1,1,1,1,1,5.57,5.762,5.708,0.051,0.053,-0.004,40.469,47.525,43.64265,53.18045,5.652
20260128,300597.SZ,吉大通信,创业板,SZSE,通信设备,1,1,1,1,1,9.82,10.0,10.05,0.162,0.193,-0.064,40.521,49.559,22.3016,25.25806,9.87
20260128,600408.SH,安泰集团,主板,SSE,焦炭加工,1,1,1,1,1,4.04,4.076,4.128,-0.125,-0.106,-0.037,40.538,41.881,23.32962,26.26185,4.22
20260128,920961.BJ,创远信科,北交所,BSE,电器仪表,1,1,1,1,1,28.98,29.886,29.952,0.291,0.562,-0.542,40.563,46.7,25.5251,25.86734,30.125
20260128,300516.SZ,久之洋,创业板,SZSE,电器仪表,1,1,1,1,1,69.3,71.006,71.575,0.547,2.709,-4.324,40.572,45.684,16.4813,16.86178,77.992
20260128,600657.SH,信达地产,主板,SSE,全国地产,1,1,1,1,1,3.37,3.412,3.403,-0.054,-0.053,-0.003,40.577,40.91,37.68312,40.78835,3.458
20260128,002023.SZ,海特高新,主板,SZSE,航空,1,1,1,1,1,13.93,14.318,14.23,0.259,0.339,-0.159,40.605,48.769,39.0363,41.50894,14.204
20260128,600158.SH,中体产业,主板,SSE,文教休闲,1,1,1,1,1,9.0,9.356,9.253,0.12,0.125,-0.01,40.627,47.772,35.94943,53.86135,9.054
